energy,danceability,liveness,valence,acousticness,speechiness,track_name,artist_name,rating
72.0,49.0,16.0,29.0,1.0,4.0,Where The Streets Have No Name - Remastered,U2,3.72
77.0,56.0,9.0,66.0,1.0,4.0,I Still Haven't Found What I'm Looking For,U2,3.72
64.0,36.0,13.0,45.0,1.0,4.0,Bullet The Blue Sky,U2,3.72
20.0,54.0,33.0,23.0,86.0,3.0,Running To Stand Still,U2,3.72
90.0,23.0,96.0,49.0,0.0,6.0,I Will Follow - Live,U2,3.72
86.0,56.0,21.0,40.0,1.0,6.0,In the End,Linkin Park,3.16
83.0,35.0,8.0,15.0,0.0,4.0,Black Hole Sun,Soundgarden,3.86
0.669,0.248,0.0868,0.226,0.00407,0.0406,Outside,Kero Kero Bonito,3.76
0.677,0.506,0.0897,0.327,0.2289999999999999,0.0494,Time Today,Kero Kero Bonito,3.76
0.723,0.677,0.268,0.474,0.0572,0.182,Only Acting,Kero Kero Bonito,3.76
0.897,0.401,0.425,0.511,0.00657,0.0725,Flyway,Kero Kero Bonito,3.76
0.773,0.6,0.9,0.147,0.563,0.183,Dump,Kero Kero Bonito,3.76
0.759,0.547,0.12,0.5,0.53,0.0294,Make Believe,Kero Kero Bonito,3.76
0.873,0.52,0.255,0.526,0.026,0.03,Visiting Hours,Kero Kero Bonito,3.76
0.618,0.74,0.0811,0.865,0.309,0.033,If I'd Known,Kero Kero Bonito,3.76
0.608,0.68,0.0972,0.599,0.6859999999999999,0.0289999999999999,Swimming,Kero Kero Bonito,3.76
0.573,0.708,0.13,0.0481,0.302,0.0834,Rest Stop,Kero Kero Bonito,3.76
68.0,44.0,9.0,19.0,46.0,3.0,Sing for Absolution,Muse,3.52
78.0,39.0,11.0,90.0,0.0,23.0,Blitzkrieg Bop - 2016 Remaster,Ramones,3.76
74.0,71.0,26.0,87.0,27.0,5.0,Ashes to Ashes - 2017 Remaster,David Bowie,3.82
41.0,52.0,35.0,28.0,20.0,3.0,High Hopes,Pink Floyd,3.24
43.0,51.0,6.0,21.0,18.0,4.0,Glory Box,Portishead,3.83
83.0,74.0,38.0,82.0,8.0,12.0,Should I Stay or Should I Go - Remastered,The Clash,3.82
79.0,10.0,36.0,18.0,0.0,4.0,Live Forever - Remastered,Oasis,3.65
76.0,37.0,53.0,66.0,62.0,4.0,Thunder Road,Bruce Springsteen,3.96
94.0,27.0,12.0,61.0,1.0,10.0,Born to Run,Bruce Springsteen,3.96
29.0,46.0,18.0,26.0,82.0,3.0,Meeting Across the River,Bruce Springsteen,3.96
58.0,30.0,7.0,18.0,37.0,3.0,Jungleland,Bruce Springsteen,3.96
87.0,55.0,21.0,32.0,0.0,3.0,Starlight,Muse,3.39
92.0,67.0,9.0,78.0,5.0,4.0,Supermassive Black Hole,Muse,3.39
96.0,37.0,12.0,21.0,0.0,14.0,Knights of Cydonia,Muse,3.39
0.804,0.69,0.171,0.482,0.312,0.0675,This Old House Is All I Have,Against All Logic,3.76
68.0,28.0,14.0,49.0,0.0,4.0,Take Me Out,Franz Ferdinand,3.54
0.442,0.551,0.0669,0.272,0.0127,0.0346,Me and Your Mama,Childish Gambino,3.49
0.8029999999999999,0.785,0.679,0.942,0.0121,0.0859,Have Some Love,Childish Gambino,3.49
0.48,0.7020000000000001,0.104,0.5379999999999999,0.276,0.0865,Redbone,Childish Gambino,3.49
0.447,0.877,0.126,0.843,0.321,0.542,California,Childish Gambino,3.49
0.405,0.4589999999999999,0.098,0.106,0.402,0.0548,Terrified,Childish Gambino,3.49
0.6679999999999999,0.7020000000000001,0.0588,0.561,0.518,0.214,Sympathy For The Devil - 50th Anniversary Edition,The Rolling Stones,3.95
0.855,0.583,0.262,0.69,0.1,0.0333,Street Fighting Man - 50th Anniversary Edition,The Rolling Stones,3.95
68.0,87.0,9.0,82.0,4.0,32.0,My Name Is,Eminem,3.51
57.0,59.0,8.0,95.0,16.0,7.0,Sir Duke,Stevie Wonder,4.2
72.0,82.0,7.0,89.0,8.0,5.0,I Wish,Stevie Wonder,4.2
83.0,48.0,32.0,82.0,18.0,9.0,Isn't She Lovely,Stevie Wonder,4.2
0.88,0.434,0.2019999999999999,0.141,0.1669999999999999,0.0376,Dark Spring,Beach House,3.65
0.41,0.593,0.1169999999999999,0.27,0.238,0.0239,Pay No Mind,Beach House,3.65
0.83,0.466,0.2319999999999999,0.51,0.447,0.0296,Lemon Glow,Beach House,3.65
0.591,0.11,0.114,0.107,0.884,0.0318,L'Inconnue,Beach House,3.65
0.733,0.431,0.184,0.22,0.26,0.0257,Drunk In LA,Beach House,3.65
0.818,0.374,0.0914,0.173,0.0101,0.0455,Dive,Beach House,3.65
0.575,0.41,0.111,0.265,0.3229999999999999,0.0294,Black Car,Beach House,3.65
0.494,0.389,0.088,0.221,0.29,0.0297,Lose Your Smile,Beach House,3.65
0.774,0.3939999999999999,0.201,0.654,0.126,0.027,Woo,Beach House,3.65
0.6809999999999999,0.358,0.485,0.0769,0.3429999999999999,0.0352,Girl Of The Year,Beach House,3.65
0.475,0.145,0.11,0.0777,0.747,0.03,Last Ride,Beach House,3.65
53.0,68.0,6.0,35.0,42.0,9.0,Locomotive Breath,Jethro Tull,3.9
39.0,47.0,14.0,55.0,64.0,3.0,The Man Who Sold the World - 2015 Remaster,David Bowie,3.56
0.64,0.633,0.2019999999999999,0.833,0.136,0.0308,Starstruck - Alternate Mix With Session Chat,The Kinks,4.05
59.0,63.0,5.0,89.0,10.0,3.0,Smoke on the Water,Deep Purple,3.93
76.0,91.0,8.0,87.0,7.0,17.0,Cleanin' Out My Closet,Eminem,3.36
67.0,91.0,24.0,66.0,0.0,7.0,Without Me,Eminem,3.36
92.0,36.0,10.0,23.0,0.0,8.0,Mr. Brightside,The Killers,3.44
99.0,51.0,12.0,65.0,0.0,9.0,Somebody Told Me,The Killers,3.44
83.0,54.0,17.0,71.0,11.0,3.0,In Between Days - 2006 Remaster,The Cure,3.82
4.0,47.0,11.0,18.0,95.0,4.0,Famous Blue Raincoat,Leonard Cohen,4.05
0.6990000000000001,0.6779999999999999,0.107,0.217,0.33,0.04,Adore You,Jessie Ware,3.81
0.547,0.79,0.114,0.969,0.3989999999999999,0.048,101 FM,Little Simz,3.78
43.0,67.0,13.0,34.0,12.0,12.0,Royals,Lorde,3.55
84.0,47.0,11.0,69.0,0.0,6.0,Boys Don't Cry - Single Version,The Cure,3.51
78.0,36.0,38.0,58.0,1.0,4.0,Lost!,Coldplay,3.36
62.0,49.0,11.0,42.0,9.0,3.0,Viva La Vida,Coldplay,3.36
58.0,35.0,12.0,11.0,6.0,4.0,Violet Hill,Coldplay,3.36
48.0,68.0,12.0,78.0,48.0,4.0,Sunshine Of Your Love,Cream,3.75
0.768,0.6459999999999999,0.158,0.745,0.00808,0.0277,Island In The Sun,Weezer,2.99
62.0,48.0,14.0,19.0,6.0,3.0,Overture,The Who,3.76
72.0,54.0,26.0,47.0,2.0,4.0,Pinball Wizard,The Who,3.76
77.0,30.0,12.0,9.0,0.0,3.0,The Unforgiven III,Metallica,2.89
91.0,57.0,16.0,42.0,6.0,13.0,Highway to Hell,AC/DC,3.61
63.0,61.0,15.0,90.0,34.0,3.0,Roadhouse Blues,The Doors,3.73
0.838,0.264,0.11,0.72,0.1159999999999999,0.0401,Total Football,Parquet Courts,3.73
0.942,0.446,0.11,0.7070000000000001,0.0297,0.218,Violence,Parquet Courts,3.73
0.7859999999999999,0.494,0.349,0.573,0.0724,0.0327,Before the Water Gets Too High,Parquet Courts,3.73
0.8170000000000001,0.432,0.1369999999999999,0.604,0.0111,0.0343,Mardi Gras Beads,Parquet Courts,3.73
0.938,0.412,0.857,0.821,0.106,0.175,Almost Had to Start a Fight/In and Out of Patience,Parquet Courts,3.73
